Quantidade,Valor inicial,Valor final,Possibilidades,Tempo Total
250,-250,250,2066,0.014234
250,-500,500,1461,0.016010
250,-1000,1000,660,0.013435
250,-2000,2000,401,0.011296
250,-4000,4000,258,0.010259
250,-16000,16000,57,0.017099
500,-250,250,7994,0.040165
500,-500,500,7383,0.049363
500,-1000,1000,5152,0.045929
500,-2000,2000,3350,0.048247
500,-4000,4000,1799,0.047875
500,-16000,16000,441,0.047446
1000,-250,250,20630,0.087250
1000,-500,500,33673,0.193155
1000,-1000,1000,29474,0.271929
1000,-2000,2000,21736,0.348788
1000,-4000,4000,12134,0.321007
1000,-16000,16000,3890,0.255004
2000,-250,250,30484,0.232229
2000,-500,500,84969,0.444626
2000,-1000,1000,125462,0.813842
2000,-2000,2000,124620,0.611016
2000,-4000,4000,84886,0.669980
2000,-16000,16000,27258,0.730384
4000,-250,250,31500,0.370790
4000,-500,500,119430,1.074934
4000,-1000,1000,322158,1.516215
4000,-2000,2000,522985,2.323270
4000,-4000,4000,494035,2.553211
4000,-16000,16000,207979,2.675947
16000,-250,250,31501,1.219141
16000,-500,500,125501,2.480630
16000,-1000,1000,499189,5.248683
16000,-2000,2000,1894258,11.800625
16000,-4000,4000,5184592,23.412362
16000,-16000,16000,7779841,42.224489
